"","Date","Box","GeoMean_Chla","STD_Chla","SST","SSS","PO4","NO3","NH4","MLD","HF","SST_z","SSS_z","PO4_z","NO3_z","NH4_z","MLD_z","HF_z"
"1",1999-01-01,"Adriatic",0.105715453801417,0.0385114432832578,13.9897548678039,38.6530332150667,13.6625765293483,377.475238543725,24.1223592230454,194.035789158033,-143.390645566194,-1.25311192190638,-0.0839850900423574,0.256582703954357,0.400653288118222,2.44496811659052,2.13177808754787,-0.99173653447581
"2",1999-01-01,"Cyprus",0.0698303208595642,0.0397895202741903,19.2876690397561,39.0892202957817,0.750953979438104,51.3010587421843,13.1884734599036,86.9621525640073,-187.385373986286,-0.0978913140231731,0.754915417514471,-0.201006162560344,-0.178230438568846,0.927982851185525,0.567589687524089,-1.3245644426889
"3",1999-01-01,"Lyon",0.239298101351402,0.180963254851663,12.9679296231403,38.1499247343644,27.2053113037787,549.827733434666,25.9403835649977,50.7390334087869,-116.729799685271,-1.47592292676185,-1.05159274849356,0.736538234793812,0.706539102277355,2.6972037991862,0.0384231756019887,-0.790042516024121
"4",1999-02-01,"Adriatic",0.102198432383276,0.0215629325915024,13.7002171755395,38.656158613122,27.71228877829,779.828279879725,24.3802901972895,364.014701511549,-172.768112182617,-1.31624618531774,-0.0779741416882403,0.754505554316464,1.1147368742383,2.48075388350779,4.61492007664572,-1.21398226967345
"5",1999-02-01,"Cyprus",0.0726486281143419,0.0763030846630727,18.2064438259058,39.0426484812861,2.51052328656887,127.624024259571,16.7354212312031,118.239392819612,-139.527540123981,-0.333654599018509,0.665345779747669,-0.138646895032839,-0.0427748278966712,1.42009220944869,1.02450418065996,-0.962511457978892
"6",1999-02-01,"Lyon",0.153189809584043,0.0750806194276358,12.781887929918,38.269009631613,176.336100522422,3469.01889199616,49.7953486595803,170.648622927458,-197.072815604832,-1.5164896839724,-0.822561708462635,6.02174453146304,5.88742821437143,6.00688082884943,1.79012597512364,-1.39785165335309
"7",1999-03-01,"Adriatic",0.372669754678741,0.257901616042972,13.79056405223,38.6776786472486,16.4311291606059,474.066877674208,11.2162278782238,233.95696623429,-13.2518445927164,-1.29654587111422,-0.0365855532828975,0.354700415769923,0.572081106410547,0.654350260542045,2.71496778843322,-0.00721346862638322
"8",1999-03-01,"Cyprus",0.0638001779065993,0.0109240269012562,17.8537149309406,38.9756406701129,1.5511483618803,89.0543640439587,7.71943254056184,69.5667177283246,-14.9145499312359,-0.410567828496049,0.536472437806126,-0.172647213943487,-0.11122705380938,0.169199133277494,0.313467961122739,-0.0197921288356243
"9",1999-03-01,"Lyon",1.16507475560565,1.35199186505733,13.0913505117645,38.2750458095385,53.2350879923382,1031.27406507178,20.7963078224817,43.3748271776282,-0.77950412294139,-1.44901075918904,-0.810952578001687,1.65903546273761,1.56099498479842,1.98350628353905,-0.0691570498258272,0.0871419948154792
"10",1999-04-01,"Adriatic",0.24747332469075,0.104619071631513,14.8592890398842,38.7595349187436,0.638069679614583,28.1565379267154,1.69172671613957,24.2251187200132,57.7590302177097,-1.06350828503288,0.120845216081709,-0.205006790568472,-0.219306609804095,-0.667094670949795,-0.348906134531054,0.529996369285514
"11",1999-04-01,"Cyprus",0.0437632388123422,0.00573782104221519,18.628528106143,38.9948873105256,0.356652810690759,30.1129231948708,2.84932927846458,24.9146703637165,87.0972790925399,-0.241618291338218,0.573488702443097,-0.214980225399857,-0.215834478455272,-0.506486990543821,-0.338832798865921,0.751945415325887
"12",1999-04-01,"Lyon",1.36753773230349,0.962918001518514,13.7311397883998,38.1192680027174,3.92574210743823,66.332465865887,10.97304845983,20.8269071164338,54.2216594530189,-1.3095034487489,-1.11055356800372,-0.0884914344306863,-0.151553167613757,0.6206111487071,-0.398549009660987,0.503235533283888
"13",1999-05-01,"Adriatic",0.0904097855109753,0.0105461958183237,18.4595494049338,38.7161999578061,0.100109877616992,10.5548276203894,1.84136515054778,11.9956368570742,123.880560170049,-0.278464429571952,0.0375008844113788,-0.224072126088853,-0.250545574410036,-0.646333588837455,-0.527560883513193,1.03021744785991
"14",1999-05-01,"Cyprus",0.0315623771614681,0.0834897896785401,21.5867333724319,39.0147381658139,0.0865456136700562,8.99537724312853,1.41994981481808,12.0656414861264,162.512512207031,0.40342418671052,0.611667028471227,-0.224552844615172,-0.253313238136581,-0.704801444526297,-0.526538218810708,1.32247500344434
"15",1999-05-01,"Lyon",0.204083103033553,0.085309696857081,16.5343255810068,37.9809946806534,0.537682825371989,10.4330947295479,3.95192673886881,12.781175489011,134.867283696714,-0.698263271909305,-1.37648890902966,-0.208564508172769,-0.250761622135069,-0.353510808302681,-0.516085319079859,1.11333395615106
"16",1999-06-01,"Adriatic",0.0653984480095573,0.00701468762341117,22.7926988348578,38.6942583167035,0.0559825785899822,10.568553408144,2.06532152061877,12.4592303400454,102.514241425887,0.666387328311669,-0.00469856319130702,-0.225636000858741,-0.250521214311478,-0.615261514293148,-0.520788464349551,0.868577464407125
"17",1999-06-01,"Cyprus",0.0294285374869087,0.0179951803526041,24.7762740444458,39.0463379569676,0.0594448469832737,8.04541933694273,1.51920428776335,12.0949857960577,157.401990807575,1.09890980508821,0.672441595187121,-0.225513297808561,-0.254999193699536,-0.691030715963257,-0.526109541587618,1.28381300441988
"18",1999-06-01,"Lyon",0.115790944101669,0.0299221887919779,19.5829993067233,38.0855125758959,0.312418108344754,9.58918764099958,3.80516993976946,12.6986259792162,157.394983042841,-0.0334939683020284,-1.1754739793257,-0.216547906551384,-0.252259362025743,-0.373872087600312,-0.517291246045226,1.28375998943919
"19",1999-07-01,"Adriatic",0.0680783981465613,0.0112061970337741,24.4924962531537,38.6110337298849,0.0618234921997715,10.637906115988,2.27810992176825,11.8989435278851,135.4117026951,1.03703149941543,-0.16476095662323,-0.225428998444616,-0.25039812929599,-0.585738902096028,-0.528973430884221,1.11745258224403
"20",1999-07-01,"Cyprus",0.0299829594503723,0.0145141555327059,27.0007001109503,39.1689385123875,0.0773014828337388,7.36285262657699,1.56483636461269,12.3734955580338,127.682909426482,1.58395028504595,0.90823415465475,-0.224880457301723,-0.25621059173616,-0.684699646688358,-0.522040923458693,1.05898289305666
